"Region Code","Timestamp (Hour Ending)","SOCO Demand (MWh)"
SE,"12/24/2022, Central Time",984519
SE,"12/25/2022, Central Time",853472
SE,"12/26/2022, Central Time",818934
SE,"12/27/2022, Central Time",743100
SE,"12/28/2022, Central Time",719513
SE,"12/29/2022, Central Time",590513
SE,"12/30/2022, Central Time",539407
SE,"12/31/2022, Central Time",499898
SE,"1/1/2023, Central Time",477556
SE,"1/2/2023, Central Time",512628
SE,"1/3/2023, Central Time",541170
SE,"1/4/2023, Central Time",538576
SE,"1/5/2023, Central Time",577380
SE,"1/6/2023, Central Time",626097
SE,"1/7/2023, Central Time",594401
SE,"1/8/2023, Central Time",547309
SE,"1/9/2023, Central Time",601613
SE,"1/10/2023, Central Time",649987
SE,"1/11/2023, Central Time",604187
SE,"1/12/2023, Central Time",549208
SE,"1/13/2023, Central Time",661892
SE,"1/14/2023, Central Time",709757
SE,"1/15/2023, Central Time",696982
SE,"1/16/2023, Central Time",667019
SE,"1/17/2023, Central Time",583551
SE,"1/18/2023, Central Time",549708
SE,"1/19/2023, Central Time",540956
SE,"1/20/2023, Central Time",584372
SE,"1/21/2023, Central Time",600358
SE,"1/22/2023, Central Time",609573
SE,"1/23/2023, Central Time",667400
SE,"1/24/2023, Central Time",715909
SE,"1/25/2023, Central Time",614009
SE,"1/26/2023, Central Time",693811
SE,"1/27/2023, Central Time",726006
SE,"1/28/2023, Central Time",668318
SE,"1/29/2023, Central Time",598782
SE,"1/30/2023, Central Time",577118
SE,"1/31/2023, Central Time",559274
SE,"2/1/2023, Central Time",573519
SE,"2/2/2023, Central Time",614261
SE,"2/3/2023, Central Time",651215
SE,"2/4/2023, Central Time",668051
SE,"2/5/2023, Central Time",596831
SE,"2/6/2023, Central Time",607105
SE,"2/7/2023, Central Time",602487
SE,"2/8/2023, Central Time",559872
SE,"2/9/2023, Central Time",543909
SE,"2/10/2023, Central Time",552166
SE,"2/11/2023, Central Time",589436
SE,"2/12/2023, Central Time",621344
SE,"2/13/2023, Central Time",642546
SE,"2/14/2023, Central Time",609832
SE,"2/15/2023, Central Time",562720
SE,"2/16/2023, Central Time",552221
SE,"2/17/2023, Central Time",591972
SE,"2/18/2023, Central Time",655513
SE,"2/19/2023, Central Time",565672
SE,"2/20/2023, Central Time",565918
SE,"2/21/2023, Central Time",540374
SE,"2/22/2023, Central Time",557226
SE,"2/23/2023, Central Time",570449
SE,"2/24/2023, Central Time",553533
SE,"2/25/2023, Central Time",511820
SE,"2/26/2023, Central Time",508743
SE,"2/27/2023, Central Time",552774
SE,"2/28/2023, Central Time",567407
SE,"3/1/2023, Central Time",566263
SE,"3/2/2023, Central Time",552990
SE,"3/3/2023, Central Time",543903
SE,"3/4/2023, Central Time",500611
SE,"3/5/2023, Central Time",500515
SE,"3/6/2023, Central Time",553901
SE,"3/7/2023, Central Time",572761
SE,"3/8/2023, Central Time",540117
